epochs,lr,accuracy,f1_score
300.0,0.05,1.0,1.0
300.0,0.01,1.0,1.0
200.0,0.05,0.975,0.9743589743589743
300.0,0.001,0.975,0.9743589743589743
200.0,0.01,0.925,0.926829268292683
100.0,0.05,0.75,0.7916666666666666
100.0,0.001,0.725,0.7317073170731707
200.0,0.001,0.725,0.7317073170731707
100.0,0.01,0.65,0.5882352941176471
