epochs,lr,accuracy,f1_score
300.0,0.05,0.9895833333333334,0.9873417721518988
300.0,0.01,0.9270833333333334,0.9090909090909091
200.0,0.05,0.90625,0.8732394366197183
200.0,0.01,0.8958333333333334,0.868421052631579
100.0,0.05,0.8229166666666666,0.7301587301587301
100.0,0.01,0.7604166666666666,0.6666666666666666
200.0,0.001,0.6875,0.6052631578947368
300.0,0.001,0.6875,0.6052631578947368
100.0,0.001,0.6458333333333334,0.5405405405405406
