n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9285714285714286,0.6666666666666666
30,3,0.1,0.9285714285714286,0.6666666666666666
20,5,0.1,0.9285714285714286,0.6666666666666666
20,3,0.1,0.9285714285714286,0.6666666666666666
30,5,0.05,0.9285714285714286,0.6666666666666666
30,3,0.05,0.9285714285714286,0.6666666666666666
10,5,0.01,0.8571428571428571,0.0
10,5,0.1,0.8571428571428571,0.0
10,3,0.1,0.8571428571428571,0.0
10,3,0.01,0.8571428571428571,0.0
20,3,0.05,0.8571428571428571,0.0
10,5,0.05,0.8571428571428571,0.0
10,3,0.05,0.8571428571428571,0.0
30,5,0.01,0.8571428571428571,0.0
30,3,0.01,0.8571428571428571,0.0
20,5,0.01,0.8571428571428571,0.0
20,3,0.01,0.8571428571428571,0.0
20,5,0.05,0.8571428571428571,0.0
