n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.01,0.9848484848484849,0.9795918367346939
30,5,0.01,0.9848484848484849,0.9795918367346939
20,5,0.05,0.9696969696969697,0.9615384615384616
30,3,0.05,0.9696969696969697,0.9615384615384616
30,3,0.1,0.9696969696969697,0.9615384615384616
20,5,0.1,0.9696969696969697,0.9615384615384616
20,3,0.1,0.9696969696969697,0.9615384615384616
10,5,0.1,0.9696969696969697,0.9615384615384616
10,3,0.1,0.9696969696969697,0.9615384615384616
30,5,0.05,0.9696969696969697,0.9615384615384616
30,5,0.1,0.9696969696969697,0.9615384615384616
20,3,0.05,0.9696969696969697,0.9615384615384616
10,5,0.05,0.9696969696969697,0.9615384615384616
10,3,0.05,0.9696969696969697,0.9615384615384616
10,5,0.01,0.6212121212121212,0.0
20,5,0.01,0.6212121212121212,0.0
20,3,0.01,0.6212121212121212,0.0
10,3,0.01,0.6212121212121212,0.0
