n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.7333333333333333,0.5
20,3,0.1,0.7333333333333333,0.5
30,5,0.1,0.6666666666666666,0.2857142857142857
30,3,0.1,0.6666666666666666,0.2857142857142857
10,5,0.01,0.6666666666666666,0.0
10,5,0.1,0.6,0.0
10,3,0.1,0.6,0.0
30,5,0.05,0.6,0.0
30,3,0.05,0.6,0.0
10,3,0.01,0.6666666666666666,0.0
20,3,0.05,0.6,0.0
10,5,0.05,0.6666666666666666,0.0
10,3,0.05,0.6666666666666666,0.0
30,5,0.01,0.6666666666666666,0.0
30,3,0.01,0.6666666666666666,0.0
20,5,0.01,0.6666666666666666,0.0
20,3,0.01,0.6666666666666666,0.0
20,5,0.05,0.6,0.0
