n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8,0.8
30,3,0.1,0.8,0.8
30,3,0.05,0.75,0.7619047619047619
20,5,0.1,0.75,0.7619047619047619
20,3,0.1,0.75,0.7619047619047619
10,5,0.1,0.75,0.7619047619047619
10,3,0.1,0.75,0.7619047619047619
30,5,0.05,0.75,0.7619047619047619
20,5,0.05,0.75,0.7619047619047619
20,3,0.05,0.75,0.7619047619047619
10,5,0.05,0.75,0.7619047619047619
10,3,0.05,0.75,0.7619047619047619
30,5,0.01,0.75,0.7619047619047619
30,3,0.01,0.75,0.7619047619047619
20,5,0.01,0.75,0.7619047619047619
20,3,0.01,0.75,0.7619047619047619
10,5,0.01,0.4,0.5714285714285714
10,3,0.01,0.4,0.5714285714285714
